News Source,Bias,Reporting,References
Al-Hayat,Left-Center,High,235363
Al Monitor,Left-Center,High,71775
Alan Guttmacher Institute,Left-Center,High,45258
Alaska Dispatch News,Left-Center,High,289068
Albany Times-Union,Left-Center,High,1113673
Allied Progress,Left-Center,High,552
AM New York,Left-Center,High,1817835
American Civil Liberties Union (ACLU),Left-Center,High,1580537
Anti-Defamation League,Left-Center,High,1474482
AOL,Left-Center,High,27728715
Ara News,Left-Center,High,75946
Arizona Daily Star,Left-Center,High,1704393
Asheville Citizen-Times,Left-Center,High,1325464
Atlanta Black Star,Left-Center,High,230405
Atlanta Journal-Constitution,Left-Center,High,6982204
Atlantic Media,Left-Center,High,32794
ATTN:,Left-Center,High,14815
Austin American-Statesman,Left-Center,High,2785957
BackChannel,Left-Center,Very High,4432
Baptist News Global,Left-Center,High,12979
Beijing Review,Left-Center,High,152855
BillMoyers.com,Left-Center,Very High,226341
Bluestem Prairie,Left-Center,High,18754
Boy Genius Report (BGR),Left-Center,High,1023291
Brookings Institute,Left-Center,Very High,916884
Buffalo News,Left-Center,High,160034
Bustle Magazine,Left-Center,High,294942
Calgary Herald,Left-Center,High,644628
Caribbean Life News,Left-Center,High,46514
Carolina Public Press,Left-Center,High,48929
CCTV America,Left-Center,High,1927
Center for International Policy,Left-Center,Very High,238489
Center for Popular Democracy,Left-Center,High,12847
Charlotte Observer,Left-Center,High,1623797
Chicago Sun Times,Left-Center,High,743462
Citizens for Tax Justice,Left-Center,High,18842
Citizens for Responsibility and Ethics in Washington (CREW),Left-Center,High,150647
Clean Technica,Left-Center,Very High,206027
Columbia Journalism Review,Left-Center,High,655021
Committee to Investigate Russia,Left-Center,High,6550
Common Cause,Left-Center,High,156536
Commonweal Magazine,Left-Center,High,62118
Commonwealth Fund,Left-Center,High,44669
Council for the National Interest,Left-Center,High,141064
Credo Action,Left-Center,High,29354
Crosscut.com,Left-Center,High,83817
CTV News,Left-Center,High,1786635
Daily Hive,Left-Center,High,107030
Deadline Hollywood,Left-Center,High,1478610
Delaware Online   The News Journal,Left-Center,High,1290204
Democracy 21,Left-Center,High,82428
Democrat and Chronicle,Left-Center,High,1377631
Demos,Left-Center,High,134410
Denver Post,Left-Center,High,1951696
Detroit Free Press,Left-Center,High,1748984
Die Zeit,Left-Center,High,837000
Digg,Left-Center,High,28112717
DiversityInc,Left-Center,High,74956
Dutch Daily News,Left-Center,High,5610
DW News,Left-Center,High,4681143
EarthJustice,Left-Center,High,111920
East Bay Times,Left-Center,High,1060550
Economic Policy Institute,Left-Center,High,493364
Economics.Help,Left-Center,High,12682
Edmonton Journal,Left-Center,High,550969
El Pais,Left-Center,High,12086157
El Paso Times,Left-Center,High,109740
Electronic Frontier Foundation,Left-Center,High,9132576
Emirates 24/7,Left-Center,High,1150245
Empty Wheel,Left-Center,High,329336
Engadget,Left-Center,High,5858093
EU Observer,Left-Center,High,316111
Exposing the Truth,Left-Center,High,490
Factbox.TV,Left-Center,High,432
Fact / Myth,Left-Center,High,1608
FairVote,Left-Center,High,253043
Fast Company Magazine,Left-Center,High,781183
Feminist Frequency,Left-Center,High,23308
Fight for the Future,Left-Center,High,44004
FiveThirtyEight,Left-Center,High,1876688
France24,Left-Center,High,2321515
Freakonomics Radio,Left-Center,High,665692
Free Press,Left-Center,High,534597
Fresno Bee,Left-Center,High,1315574
Gay Star News,Left-Center,High,55636
Geopolitics Alert,Left-Center,High,49192
Glamour Magazine,Left-Center,High,2468579
Global News,Left-Center,High,819128
Global Post,Left-Center,High,3398679
Global Times (China),Left-Center,High,2933360
Governing Magazine,Left-Center,High,160930
Greentech Media,Left-Center,High,170212
Grist,Left-Center,High,860540
Haaretz,Left-Center,High,6814857
Harper s Magazine,Left-Center,High,623535
HealthyWay,Left-Center,High,3876
Heavy,Left-Center,High,552730
Helsinki Times,Left-Center,High,109070
Highline,Left-Center,High,3396116
History News Network,Left-Center,High,314872
Hollywood Reporter,Left-Center,High,3450552
Honolulu Star-Advertiser,Left-Center,High,973343
Human Rights Watch,Left-Center,High,1446131
Humanium,Left-Center,High,7434
Ice News,Left-Center,High,53975
Indianapolis Star,Left-Center,High,869820
Inside Higher Ed,Left-Center,High,1446533
Inside Philanthropy,Left-Center,High,2950
InsideClimate News,Left-Center,High,243176
Institute on Taxation and Economic Policy (ITEP),Left-Center,High,21466
International Center for Research on Women,Left-Center,High,55326
International Crisis Group,Left-Center,High,263490
iPolitics,Left-Center,High,122156
Joint Center for Political and Economic Studies,Left-Center,High,34852
Journal of Politics and Society,Left-Center,Very High,655
KMOV,Left-Center,High,152510
Knight Foundation,Left-Center,High,1990062
KOCO News 5,Left-Center,High,78812
KUOW NPR,Left-Center,High,100922
LA Times (Los Angeles Times),Left-Center,High,15146071
Latin Times,Left-Center,High,55289
Law Newz,Left-Center,High,27263
Lawfare Blog,Left-Center,High,1371084
Left Justified,Left-Center,High,5776
National Monitor,Left-Center,High,14145
Lethbridge Herald,Left-Center,High,272179
Lexington Herald Leader,Left-Center,High,811242
Liberal Mountain,Left-Center,High,2417
Lifehacker,Left-Center,High,7210265
LiveLeak,Left-Center,High,2089490
Maclean s Magazine,Left-Center,High,639780
